ראה אנכי כת' ולעם הזה תאמרו כה אמ' יי' הנני נותן 	Midrash Tanchuma		:::Midrash Tanchuma::::	:::::::
לפניכם את דרך החיים ואת דרך המוות 	Midrash Tanchuma	Jeremiah.21	:::Midrash Tanchuma::::::	:::::::::
וכת' משכיל לאסף האזינה עמי תורתי הטו	Midrash Tanchuma	Psalms.78	:::Midrash Tanchuma:::::::::::	::::::::::::::
אזניכם לאמרי פי וכת' רק השמר לך ושמור נפשך מאד פן תשכח את הדברים	Midrash Tanchuma	Deuteronomy.4	:::::::::::::::	:::::::::::::::
אשר ראו עיניך יום אשר עמדת לפני יי' אלהיך בחורב ללמדך שכל המבטל מן 	Midrash Tanchuma	Deuteronomy.4	:::::::::::::::	:::::::::::::::
התורה כאילו כופר בהק'ב'ה שלא נתן תורה לישר' אלא שי(כ)עסקו בו יומם ולילה וכל	Midrash Tanhuma Buber		:::::Midrash Tanhuma Buber:Midrash Tanhuma Buber:Midrash Tanhuma Buber::::::::	:::::::::::::::
העוסק בתורה תדיר ומקיימה כאילו הוא קיבלה מהר סיני לפי' הוא אומ' והדעתם	Midrash Tanhuma Buber		:::::::::::::::	:::::::::::::::
לבניך ולבני בניך וכת' יום אשר עמדת כשבא אסף התחיל לומ' האזינה עמי תורתי	Midrash Tanhuma Buber		:::Mekhilta deRabbi Yishmael:::::::::Midrash Tanhuma Buber:Midrash Tanhuma Buber:Midrash Tanhuma Buber:	::::::::::::Midrash Tanchuma:Midrash Tanchuma:Midrash Tanchuma:
וכן אמ' שלמה כי לקח טוב נתתי לכם תורתי אל תעזובו אמרו יש' לאסף וכי יש 	Midrash Tanhuma Buber	Proverbs.4	Midrash Tanhuma Buber:Midrash Tanhuma Buber:Midrash Tanhuma Buber:::::Midrash Tanhuma Buber:Midrash Tanhuma Buber:Midrash Tanhuma Buber::::::	Midrash Tanchuma:Midrash Tanchuma:Midrash Tanchuma:::::::::::::
תורה אחרת שאתה אומ' תורתי כבר קבלנוה מהר סיני אמ' להם פושעי ישר' אומ'	Midrash Tanchuma		::Midrash Tanhuma Buber:Midrash Tanhuma Buber:Midrash Tanhuma Buber:::::Midrash Tanchuma:Midrash Tanchuma:Midrash Tanchuma:Midrash Tanchuma:::	::Midrash Tanchuma:Midrash Tanchuma:Midrash Tanchuma:::::::::::
נביאים וכתובים אינה תורה ואין אנו מאמינים בהם שנ' ולא שמענו בקול יי'	Midrash Tanhuma Buber		:::::::Midrash Tanhuma Buber:Midrash Tanhuma Buber:Midrash Tanhuma Buber::::::	:::::::::::::::
אליהנו ללכת בתורתו אשר נתן לפנינו ביד עבדיו הנביאים הרי שנביאים וכתובים	Midrash Tanhuma Buber	Daniel.9	Midrash Tanhuma Buber:Midrash Tanhuma Buber:Midrash Tanhuma Buber:::::::::::::	:::::::::::::::
קרואין תורה לכך נאמ' האזינה עמי תורתי ד'א' האזינה עמי תורתי זה שאמ'	Midrash Tanchuma		::::::::Midrash Tanchuma::::::Midrash Tehilim:	::::::::::::::Midrash Tanchuma:
הכת' איש חכם ישכיל פיהו ועל שפתיו יסיף לקח כשיראל חוטאין נמנעין מכל 	Midrash Tanchuma	Proverbs.16	::::Midrash Tehilim:::::::::::	::::Midrash Tanchuma:::::::::::
טובה וכשזוכין מוסיפין טובה על מה זוכין כשעוסקין בתורה אז מוסיף הקב'ה טובה	Midrash Tanhuma Buber		::Midrash Tanhuma Buber:Midrash Tanhuma Buber:Midrash Tanhuma Buber:Midrash Tanhuma Buber::::::::::	::Midrash Tanchuma:Midrash Tanchuma::::::::::::
בעולמו את מוצא כשעשו יש' את העגל נמנע מהם חיים ושלום שנשתברו הלוחות	Midrash Tanhuma Buber		:::::::::::::::	:::::::::::::::
שהיה כתו' בהן חירות מן המיתה ושלום שהיה כתו' שם שמו הנכבד והנורא מפורש	Midrash Tanhuma Buber		:::::::::::::::	:::::::::::::::
ולא היה תחרות בעולם כיון שהיה אדם הוגה בו לא היה שולט עליו יצר הרע והיה	Midrash Tanhuma Buber		:::::::::::::::	:::::::::::::::
שלום בינהם וחיים כשם שהיה בעליונים כך היה בתחתונים בשביל שמול שלה'ק'ב'ה	Midrash Tanhuma Buber		:::::::::::::::	:::::::::::::::
שהוא שלום שנ' ויקרא לו יי' שמו וכיון שנשתברו הלוחות נמנעו מכל אותה טובה	Midrash Tanhuma Buber		:::::::::::::::	:::::::::::::::
שנ' ויהי כאשר קרב אל המחנה וירא את העגל וגו' וכשביקש משה רחמים עליהם	Midrash Tanhuma Buber	Exodus.32	::::::::::Midrash Tanhuma Buber:::::	::::::::::Midrash Tanchuma:::::
אמ' לו הק'ב'ה' לא בראתי את העולם אלא בשביל התורה שנ' ואשים דברי בפיך	Midrash Tanhuma Buber		:Midrash Tanhuma Buber:Midrash Tanhuma Buber::::::Midrash Tanhuma Buber:Midrash Tanhuma Buber:Midrash Tanhuma Buber:::::	:Midrash Tanchuma:::::::Midrash Tanchuma:Midrash Tanchuma:Midrash Tanchuma:::::
ובצל ידי כסיתיך לנטוע שמים וליסוד ארץ ולאמ' לציון עמי אתה והם המירו את 	Midrash Tanhuma Buber	Isaiah.51	::::Midrash Tanhuma Buber:Midrash Tanhuma Buber:Midrash Tanhuma Buber:::::::::	::::Midrash Tanchuma:Midrash Tanchuma:Midrash Tanchuma:::::::::
כבודם בתבנית שור ואתה שברת את הלוחות והיאך העולם יתקיים בלא תורה	Midrash Tanhuma Buber		:::::Midrash Aggadah, ed. Buber, Vienna, 1894.::Midrash Tanhuma Buber:Midrash Tanhuma Buber:Midrash Tanhuma Buber:Midrash Tanhuma Buber:Midrash Tanhuma Buber::::	:::::::Midrash Tanchuma:Midrash Tanchuma:Midrash Tanchuma:Midrash Tanchuma:Midrash Tanchuma::::
אמ' משה ריבוני מה אעשה אמ' לו הק'ב'ה' גוז ראני שתפסול אחרים שנ' פסול לך	Midrash Tanhuma Buber		:::::::::::::::	:::::::::::::::
מהו לך מלמד שהק'ב'ה' נתן התורה למשה במתנה לבדו ובשביל הטבת עינו של	Midrash Tanhuma Buber		:::::::::::::::	:::::::::::::::
משה נתנה לכל ישר' היינו פסול לך לך ולא לאחרים והפסולת יהא שלך ונתעשר		Midrash Tanhuma Buber		:::::::::::::::	:::::::::::::::
כי יכרית יי' אלהיך את הגוים אשר אתה בה שמה לרשתה משל	Midrash Tanhuma Buber	Deuteronomy.11	:::::::::::::::	:::::::::::::::
למה הדבר דומה למלך שנטע כרם בתוך שדהו והיה בתוכו ארזים גדולים וקוצים	Midrash Tanchuma		:::::Sifrei Bamidbar:Midrash Tanhuma Buber:Midrash Tanhuma Buber:Midrash Tanhuma Buber:Midrash Tanhuma Buber:Midrash Tanhuma Buber:Midrash Tanhuma Buber:Midrash Tanhuma Buber:Midrash Tanhuma Buber:Midrash Tanhuma Buber:	:::::Midrash Tanchuma:Midrash Tanchuma:Midrash Tanchuma:Midrash Tanchuma:Midrash Tanchuma:Midrash Tanchuma:Midrash Tanchuma:Midrash Tanchuma:Midrash Tanchuma:Midrash Tanchuma:
צוה המלך וקיצצו את הארזים והניח את הקוצים אמרו לו עבדיו ובני ביתו	Midrash Tanchuma		Midrash Tanhuma Buber:Midrash Tanhuma Buber::::::::Midrash Tanhuma Buber:Midrash Tanhuma Buber:Midrash Tanhuma Buber:Midrash Tanhuma Buber:Midrash Tanchuma:Midrash Tanchuma:	Midrash Tanchuma:Midrash Tanchuma::::::::Midrash Tanchuma:Midrash Tanchuma:Midrash Tanchuma:Midrash Tanchuma:::
אדונינו המלך הקוצים שאנו מסתכנים מהם הנחתה והארזים קצצת אמ' להם	Midrash Tanchuma		Midrash Tanhuma Buber:Midrash Tanhuma Buber:Midrash Tanchuma:Midrash Tanchuma:Midrash Tanchuma:Midrash Tanchuma:Midrash Tanchuma:::::::::	Midrash Tanchuma:Midrash Tanchuma::::::::::::::
הקוצים אני צריך לגדור את כרמי מהם לפי' הנחתים ואם יהא הכרם גדור מיד	Midrash Tanchuma		:::::::::::::::	:::::::::::::::
אצית אש בהם ותאכלם כך עשה הק'ב'ה' לישר' שבחר אותם מכל האומות והביאם	Midrash Tanchuma		:::::::::::::::	:::::::::::::::
אל הארץ הטובה והושיבם ונטעם כמו כרם חמד שנ' כי כרם יי' צבאות בית יש'	Midrash Tanchuma		:::::::::::::::	:::::::::::::::
ואיש יהודה נטע שעשועיו והכרית את הארזים את האמורי הכנעני והפריזי	Midrash Tanchuma		:::::::::::::::	:::::::::::::::
שנ' ואנכי השמדתי את האמורי מפניכם אשר כגובה ארזים גובהו והניח את בניהם	Midrash Tanchuma	Amos.2	:::::::::::::::	:::::::::::::::
ובני בניהם שם כדי שיפחידו את יש' לשמור מצות יי' שנ' ואלה הגוים אשר (ציוה) [הניח]	Midrash Tanchuma		:::::::::::::::	:::::::::::::::
יי' לנסות בם את ישר' השומרים הם את דרך יי' וכשיעמוד הכרם על עומד 	Midrash Tanchuma		:::::::::::::::	:::::::::::::::
במשמרת התורה יכלה את הקוצים שנ' והיו עמים משרפות סיר (עמים) קוצים 	Midrash Tanchuma		:::::::::::::::	:::::::::::::::
כסוחים באש יצתו וכת' כל הגוים כאין נגדו מאפס ותהו נחשבו לו וכן אתה 	Midrash Tanchuma	Isaiah.40	:::::::::::::::	:::::::::::::::
מוצא כשיצאו יש' ממצרים היאך רדף אחריהם פרעה הרשע כת' עליו ויקח שש	Midrash Tanchuma		:::::::::::::::	:::::::::::::::
מאות רכב בחור וכל רכב מצרים ושלשים על כולו מהו שלישים שלשים איש	Midrash Tanchuma	Exodus.14	:::::::::::::::	:::::::::::::::
על אחד יש' ראה כמה אוכלוסין יצאו עם פרעה כשראו ישראל כל כך הרודפים	Midrash Tanchuma		::::::::Midrash Tanchuma:Midrash Tanchuma:Midrash Tanchuma:Midrash Tanchuma:Midrash Tanchuma:::	:::::::::::::::
נבהלו מפניהם מה כת' שם ויסע מלאך האלהים ההולך לפני מחנה יש' וישר' היו	Midrash Tanchuma	Exodus.14	Midrash Tanchuma:::::::::::::::	:::::::::::::::
אומ' מי יכול לעמוד כנגדם אמ' להן הק'ב'ה' כל אלו חייכם כך הם חשובין לפני 	Midrash Tanchuma		:::::::::::::::	:::::::::::::::
כרוכב אחד וסוס אחד שנ' סוס ורוכבו רמה בים וכולן מתו בנשיפה אחת 	Mekhilta deRabbi Yishmael		:::::::::Mekhilta deRabbi Yishmael:Mekhilta deRabbi Yishmael:::::	:::::::::::::::
שנ' נשפת ברוחך כסמו ים וכן עתידין       לבוא על יש' ואף הם ישרפו 	Mekhilta deRabbi Yishmael		:::::::::::::::	:::::::::::::::
כולן בשריפה אחת שנ' ושנפטתי אותו בדבר ובדם ובגשם שוטף ואבני אלגביש	Mekhilta deRabbi Yishmael	Ezekiel.38	:::::::::::::::	:::::::::::::::
וגו' אותה שעה והתגדלתי והתקדשתי ונועדתי לעיני עמים רבים וידעו כי אני יי' אמן		Midrash Tanhuma Buber		:Midrash Tanhuma Buber:::::Midrash Tanhuma Buber:Midrash Tanhuma Buber:Midrash Tanhuma Buber:::::::	:Midrash Tanchuma::::::Midrash Tanchuma::::::::