midrash.Midrash_Tanchuma.	midrash.Midrash_Tanchuma_Buber.	midrash.Pesikta_Rabbati.	midrash.Pesikta_D'Rav_Kahanna.	midrash.Yalkut_Shimoni_on_Torah.	midrash.Yalkut_Shimoni_on_Nach.	bavli.	yerushalmi.	text
19	16	0	4	4	7	6	3	רשע כדי שידע על מי גידף אמ' לו ה'ב'ה' לא כבר אמרת איני מבקש עוד לילך עם בני אדם ﭏא אעלה על במתי עב אדמה לעליון חייך אני עושה לך ולך טרדין מן בני אנשא ועם חיות ברא מדורך וג' כשם שהביא מכות על פרעה ועל מצרים כך הביא על נבוכדנצר שאמר אתייא ותמהייא די עבד עמי ﭏהא עילאה שפר קדמי להחויה אימתי לאחר שנשרף לכך אמ' היא העולה ד'א' על מוקדה על המזבח זו מלכות הרשעה שעילת עצמה שכת' בה אם תגביה כנשר נידונת באש שנ' חזה הוית עד די קטילת חיותא והובד גשמה ויהיבת ליקידת אשא אמ' ה'ב'ה'
25	25	1	1	1	19	8	7	והיה בית יעקב אש ובית יוסף ובית וג' כי יוי דבר ומה דבר על ידי משה היא העולה על מוקדה ואחר כך ועלו מושיעים בהר ציון לשפוט וג' סיסרא שחירף שכך כתוב והוא לחץ את ישרﭏ בחזקה מהו בחזקה בחירופין ובגידופין לפיכך נדון באש שנ' מן שמים נלחמו הכוכבי' וג' ולעולם הבא כשה'ב'ה' נפרע מן עשו באותה שעה מה עשו עושה מתעטף בטליתו כזקן ובא ויושב לו אצל יעקב מנין שכך כתי' אם בין כוכבים שים קנך ואין כוכבי' ﭏא ישרﭏ שנ' הבט נא השמימה וספור הכוכבי' וכת' כה יהיה זרעך ומה יעקב אומ' לו אחי אתה לא תהא כיוצא
7	15	2	1	0	10	6	8	בי שנ' אהי דברך מות אהי קטבך שאול אחי דבר מות אם הייתי שומע מה שהייתה גוזר עלי שאעבוד ע'ז' דיפרוסופין הייתי מתחייב אם הייתי עובד הייתי חייב מיתה לשמים ואם לא הייתי עובד הייתה אתה הורגני לכך דברך מות אהי קטבך שאול לשון אילינטסי ירידה היא קטבא כיון כיון שעשו יורד לשאול יעקב משתייר בעולם לבדו שנ' והשלישית יותר בה ואין שלישית ﭏא ישר' שנ' יהיה ישר' שלישיה משעשו מסתלק מן העולם ה'ב'ה' וישר' הן לבדן משתיירין שנ' אחת היא יונתי תמתי וכת' אחר אומ' יוי בדד ינחנו ואין עמו ﭏ נכר וזאת תורת זבח השלמים ז'ש'ה' דרכיה דרכי
35	41	0	1	4	4	5	3	נועם וג' כל מה שכת' בתורה לשום שלום וא'ע'פ' שכתוב בתור' לשון מלחמות אף המלחמות לשום שלום נכתבו את מוצא שביטל ה'ב'ה' למשה כי תצור ﭏ עיר וג' כל אותו הענין אמ' לו ה'ב'ה' החרם אותם שנ' כי החרם תחרימם ומשה לא עשה כן ﭏא אמר עכשיו אני הולך ומכה מי חטא ומי לא חטא ﭏא בשלום אני בא עליהם שנ' ואשלח מלאכים ממדבר קדמות ﭏ סיחו' וג' דברי שלום וג' אעברה בארצך וג' כיון שלא רצה בשלום הכה אותו שנ' ויכו אותו וג' אמ' לו ה'ב'ה' אני אמרתי כי החרם תחרימם ואתה לא עשיתה כך חייך כשם שאמרת כך
35	36	0	5	5	5	2	4	אני עושה שנ' כי תקרב ﭏ עיר וג' וקראת ﭏיה לשלום לכך נאמ' דרכיה דרכי נועם ד'א' וזאת תורת זבח השלמים זה שאמ' הכת' אשמעה מה ידבר הﭏ יוי אמרו רבותי' אמ' אומות העולם לבלעם הרשע למה אמ' ה'ב'ה' לישרﭏ שיהו מקריבין לו ולנו לא אמ' אמ' להם בלעם הקרבנות אינן ﭏא לשלום ומי שקבל את התורה ועושה הכת' בה שהן כתובין באמת צריך שיקריב קרבנות אבל אתם מתחלה פסלתם אותה ועכשו אתם מבקשי' להקריב קרבנות מי שקיבלה הוא מקריב שנ' יוי עוז לעמו יתן לכך נאמ' אשמעה מה ידבר הﭏ יוי ומה דבר זו וזאת תורת זבח השלמים ולמה
51	39	0	5	8	3	7	2	נאמ' זבח השלמים שהוא עושה שלום בין המזבח ובין הכהנים ובין ישר' העולה אין כתי' בה שלום ולא בחטאת ולא באשם ﭏא בתודה בוא וראה העולה היתה כולה כליל לאישים והחטאת היתה דמה ואימוריה למזבח והשאר לכהנים זבח השלמים היה דמה ואימוריה למזבח החזה ושוק לכהנים ועורה ובשרה לישר' נמצאת עושה שלום בין המזבח ובין הכהנים ובין ישר' לפיכך נקראת זבח השלמי' שהיא עושה לכל/ם וזאת תורת זבח השלמים כשהיו מקריבין זבח השלמים היה ה'ב'ה' נושא להם פנים שנ' ישא יוי פניו ﭏיך איפשר ה'ב'ה' נושא פנים לבריות שני כתובין מכחישין זה את זה כתו' אחד אומ' כי לא אחפוץ
42	23	1	1	2	10	18	6	במות המת וכתו' אחר אומ' כי חפץ יוי להמיתם ﭏא עד שלא נחתם גזר דין לא אחפוץ כיון שנחתם גזר דין כי חפץ יוי להמיתם וכן דניﭏ אומ' אבל אגיד לך את הרשום בכתב אמת אמ' רבותי' מעשה היה ברבינו הקדוש שהיה עובר בסימוניא יצאו כל בני העיר לקראתו בקשו ממנו זקן אחד מי שילמדם תורה נתן להם רבי לוי בר' סימון שהיה חכם בתורה אמרו לו רבינו מהו שכתו' בדניﭏ אבל אגיד לך את הרשום בכתב אמת ולא מצא להם תשובה מלהשיבם מיד יצא משם ובא לפני ר' אמר לו לא יכולתי לעמוד בהם דבר אחד שﭏו ממני ולא
28	42	0	4	1	8	12	6	מצאתי מלהשיבן אמ' לו מה הדבר אמ' לו אבל אגיד לך את הרשום וג' וכי יש דברים של שקר בתורה אמ' לו תשובה גדולה היה לך להשיבם אמ' לו היה לך לומ' להם האדם חוטא ה'ב'ה' רושם עליו מיתה עשה תשובה הכתב מתבטל לא עשה תשובה בכתב אמת ואף כתוב אחד אומ' ישא יוי פניו ﭏיך וכת' אחר אומ' אשר לא ישא פנים אם ישא למה לא ישא ﭏא לאומות העולם לא ישא אבל לישר' ישא פנים ישא יוי פניו ﭏיך אמ' ה'ב'ה' כשם שישר' נושאין לי פנים כך אני נושא להם פנים והיאך נושאין לי פנים אדם מישר' עני
31	30	0	3	5	3	2	7	יש לו ד' או ה' בני' והוא נוטל ככר אחד והם יושבין כולן ואוכלין אותו ככר והן שביעי' ומברכי' ואומרי' ואכלת ושבעת וברכת את יוי וג' אף אני נושא להם פנים ישא יוי פניו ﭏיך וישם לך שלום לכך נאמ' וזאת תורת זבח השלמים אם על תודה יקריבנו ראה היאך ה'ב'ה' סולח לעונותיהן של ישר' וראה מה הם מקריבין לה'ב'ה' והקריב על זבח התודה ﭏא אמ' ה'ב'ה' מי שיש לו פר יביא פר איל יביא איל ומי שיש לו שה יביא שה יונה יביא יונה תור יביא תור ומי שאין לו אחד מכל ﭏו יביא סלת ומי שאין לו סלת
32	28	0	1	1	10	11	5	יביא דברים שנ' קחו עמכם דברים ושובו וג' לכך נאמ' זובח תודה אמ' ר' עקיבה כל מי שאמ' שירה בעולם הזה זוכה ואומרה לעולם הבא שנ' אז ישיר משה שר לא נאמר ﭏא ישיר הוי כל שאמ' שירה בעולם הזה זוכה ואומרה לעולם הבא לכך נאמ' זובח תודה יכבדנני וזאת תורת זבח השלמים גדולים הם השלמי' שהן עושין בין ה'ב'ה' לישר' ר' ﭏעזר הקפר אומ' גדול השלום שאפי' ישר' עובדין ע'ז' ונעשין חבורה אין מדת הדין נוגעת בהן שנ' חבור עצבים אפרים הנח לו אמ' ר' לוי גדול הוא השלום שאין חותם ברכת כהנים ﭏא בשלום שנ' וישם לך שלום
38	44	0	0	8	4	8	8	אמ' ר' שמעון בן גמליﭏ גדול הוא השלום שהרבה דברים כתובי' בתורה שלא היו לשלום ועשאן ה'ב'ה' לשלום וﭏו הן כשמת יעקב ויראו אחי יוסף כי מת אביהם מה עשו הלכו אצל בלהה ואמרו לה לכי אצל יוסף ואמרי לו אביך צוה לפני מותו לאמר כה תאמרו ליוסף ומעולם לא צוה יעקב מכל הדברים הﭏה כלום ﭏא מעצמן אמרו זה אמ' ר' שמעון בן גמליﭏ כמה דיו משתפך וכמה קלמוסין משתברין וכמה עורות מתעבדין וינוקין מתרצעין ללמוד דבר שלא היה בתורה ראה כמה הוא כח השלום וכן אתה מוצא בשרה כיון שבאו מלאכי השרת לאברהם אמרו למה זה צחקה שרה
20	29	0	1	4	11	10	1	לאמר וג' ואני זקנתי כל כך למה בשביל השלום לעולם הבא כשיחזיר ה'ב'ה' את הגליות לירושלם בשלום הוא מחזירן שנ' שﭏו שלום ירושלם וכן הוא אומר הנני נוטה ﭏיה כנהר שלום וג' וידבר יוי קח את אהרן ואת בניו אתו ואת הבגדים ז'ש'ה' אשרי תבחר ותקרב לשכון חציריך וג' אשרי כל מי שבחרו ה'ב'ה' א'ע'פ' שלא קרבו אשרי מי שקרבו א'ע'פ' שלא בחרו ואי זה זה שבחרו זה אברהם שנ' אשר בחרת באברם אבל לא קירבו ﭏא הוא קירב את עצמו שנ' וישכם אברהם בבקר יעקב בחרו שנ' כי יעקב בחר לו יה אבל לא קירבו ﭏא הוא קירב עצמו
22	41	0	1	0	10	2	0	שנ' ויעקב איש תם יושב אהלים משה בחרו אבל לא קירבו שנ' לולי משה בחירו דוד בחרו אבל לא קירבו שנ' ויבחר בדויד עבדו והוא קירב את עצמו שנ' חבר אני לכל אשר יראוך אשריהן ﭏו שבחרן ה'ב'ה' א'ע'פ' שלא קירבן בוא וראה יתרו קירבו ה'ב'ה' אבל לא בחרו רחב הזונה קירבה אבל לא בחרה אשרי אהרן בכפלים שבחרו וקרבו ומנין שבחרו שנ' ויבוא איש ﭏהים ﭏ עלי וג' ובחור אותו וג' ומנין שקירבו שנ' ואתה הקרב ﭏיך וג' לכך דוד משבחו שנ' אשרי תבחר ותקרב וג' כתי' כבוד חכמי' ינחלו הפסוק הזה משמש בבריתו של עולם עד עכשיו כבוד
40	46	0	1	4	6	6	3	חכמים ינחלו זה נח ובניו וכסילים מרים קלון זה דור המבול הוא הדין כבוד חכמים ינחלו וכסילים מרים קלון זה הפסוק אמר אותו החכם על שם שכך כתי' ברוך יוי ﭏהי שם וכסילים מרים קלון זה חם שנ' ארור כנען כבוד חכמי' ינחלו זה יהושע וכסילים מרים קלון זה ל'א' מלכים כבוד חכמי' ינחלו זה עלי וכסילים מרים קלון ﭏו בניו כבוד חכמי' ינחלו זה דוד וכסילים מרים קלון זה גלית כבוד חכמים ינחלו זה אהרן ובניו שנ' קח את אהרן ואת בניו אתו ולמה נאמ' כאן קח אמ' לו ה'ב'ה' למשה חייב אני לקיחה לאהרן ﭏא קום וגדלו בלקיחה
22	30	0	2	31	2	7	1	שנ' קח אהרן ואימתי לקח אהרן בשעה שיצא הקצף מלמעלן לחבל שונאיהם של ישר' כיון שראה משה כך אמ' לאהרן קח את המחתה אמר לו אהרן משה אחי להרגני אתה מבקש בני מפני שהקריבו לפניך אש הדיוטית נשרפו באש שנ' ויקריבו לפני יוי אש זרה וג' ותצא אש מלפני יוי ותאכל אותם ולי אתה אומר קח את המחתה בני הכניסו אש זרה ונשרפו אני אוציא אש קדש לחוץ ואיני מת ואיני נשרף אמ' לו משה לך ועשה מהרה מה ששמעתה עד שאתה עומד ומסיח הם מתים ﭏא עשה מהרה שכך כתוב והולך מהרה ﭏ העדה וכפר עליהם כיון ששמע אהרן
29	30	1	1	15	1	3	1	כך אמ' אילו אני מת על ישרﭏ איני כדאי מיד ויקח אהרן כאשר דבר משה לכך אמ' ה'ב'ה' קח את אהרן גדלהו בלקיחה מה אהרן הציל בני בלקיחה שנ' קח את המחתה אף אתה גדלו בליקחה לכך נאמר קח את אהרן ד'א' קח את אהרן ואת בניו אתו ז'ש'ה' מתהלך בתומו צדיק אשרי בניו אחריו זה אהרן ובניו מה הדבר הזה אף משה היה צדיק ולא היו בניו כמותו ועלי צדיק ולא היו בניו כמותו ואף שמוﭏ צדיק ולא היו בניו כמותו שכך כת' ולא הלכו בניו בדרכיו ולמה אתה אומר מתהלך בתומו צדיק אשרי וג' שאהרן ראה בניו משתמשין
40	30	1	1	6	3	3	0	בכהונה גדולה לפיכך אמר משה קח את אהרן ואת בניו אתו ד'א' קח את אהרן ואת בניו אתו אמר לו ה'ב'ה' למשה פתה אותו בדברים לפי שהוא בורח מן השררה ואין קח ﭏא לשון פיתוי שכן נבוכדנצר אומר לנבוזר אדן קחנו ועיניך שים עליו וכן הוא אומר בשרה אמנו ותקח האשה בית פרעה מלמד שלא היתה מבקשת לילך והיו מפתין אותה וכן בדינה אומ' ויקח אותה וישכב אותה שלא היתה רוצה לילך והיו מפתין אותה ואף אהרן קח לשון פיתוי שהיה בורח מן השררה כתי' ואת כל העדה הקהל אמ' לו ה'ב'ה' למשה חלוק לו כבוד כנגד כל ישרﭏ שיראו
41	37	0	0	4	2	4	2	אותו שהוא נכנס בכהונה גדולה והתרה בהן התראה שלא יחלקו על הכהונה כקרח וכעדתו שחלקו על אהרן ונבלעו שאני יודע שעתיד עוזיה לעמוד ולחלוק על הכהונה שנ' זכרון לבני ישרﭏ וג' אינו מזרע לוי כשם שהיה קרח ולא מזרע אהרן הוא מיד ויזעף עוזיהו ובידו מקטרת להקטיר ובזעפו עם הכהנים והצרעת זרחה במצחו אמ' לו וכדין שעשית לקרח את עושה לו אמר לו לאו ולא יהיה כקרח וכעדתו אמר לו והיאך את עושה אמר לו כאשר דבר יוי ביד משה לו אמ' לו ומה הוא כשם שעשיתי לידך ויוציאה מחיקו והנה ידו מצורעת כשלג כך אני עושה לו לפיכך ואת
32	27	0	1	8	5	13	8	כל העדה הקהל אמ' לו להיכן אמר לו ﭏ פתח אהל מועד אמר לו משה רבונו של עולם ששים רבוא בחורים היאך אני יכול להעמידן פתח אהל מועד ואינו ﭏא כבית סאתים ואת כל העדה הקהל ﭏ פתח וג' אמר לו ה'ב'ה' ועל זה אתה תמיה השמים הﭏו לא כדוק של עין הם היו ואני שעשיתי אותם מסוף העולם ועד סופו שנ' הנוטה כדוק שמים וג' וגם לעתיד כך אני עושה בציון כל אותן האוכלוסין מן אדם הראשון עד שיחיו המתים והן עתידין לומר צר לי המקום וג' מה אני עושה להן אני מרחיבה שנ' הרחיבי מקום אהלך מהיכן את
28	51	3	1	3	5	9	4	למד מהר סיני כיון שנגלה ה'ב'ה' עליו מה כתי' רכב ﭏהים רבותים וג' אמ' ר' אבדימי דמן חיפה אני שניתי במשנתי כשנגלה ה'ב'ה' על הר סיני ליתן את התורה ירדו עמו עשרים ושנים ﭏף מרכבות אמ' ר' ברכיה הכהן בר' שצפה ה'ב'ה' שאין עומדין במימיהן ﭏא שבטו של לוי לפיכך ירד עמהן כנגד מחנה הלוים אמ' לו ר' ינאי אם כן מיעטתה בכבודו אין כתי' רכב ﭏהים רבותים ﭏפי שנאן מהו רכב ﭏהים רבותים ﭏפי שנאן ﭏא עשרים ושנים ﭏפים מרכבות ירדו עם ה'ב'ה' ועל כל מרכבה ומרכבה כמרכבה שראה יחזקﭏ והיאך היה מחזיק הר סיני כל ﭏו המרכבות ﭏא
27	32	1	3	1	8	11	3	מעשה נסים אמ' לו ה'ב'ה' להר סיני הרחיב ארכך וקבל בני אמוניך וכן את מוצא לעולם הבא שה'ב'ה' מרחיב את ירושלם שנ' ורחבה ונסבה למעלה למעלה וג' עד שעולה לשמים ואין מעלה ﭏא שמים שנ' כי גדול מעל שמים חסדך כיון שמגעת לשמים אומרת צר לי המקום גשה לי ואשבה וא'ע'פ' כן ה'ב'ה' מעלה לירושלם מן השמים לרקיע השני ומשני לשלישי ומשלישי לרביעי ומד' לה' ומה' לו' ומו' לשביעי אמ' ר' ﭏעזר בן יעקב עד שמגעת לכסא הכבוד וכיצד הן עולין עד שהעליונים עולין התחתונים אוכלין וישנין ומה ה'ב'ה' עושה מביא עננים והן מפריחין שנ' מי ﭏה כעב תעופינה וכל
11	23	1	2	10	4	4	10	אחד ואחד מן הצדיקי' יש לו חופה בפני עצמו שנ' וברא יוי על כל מכון הר ציון ועל מקראיה ענן וג' כיון שמגעת לכסא הכבוד אומ' להם אני ואתם נהלך בעולם שנ' והתהלכתי בתוככם וה'ב'ה' יושב באמצע הצדיקי' ומראין אותו באצבע שנ' ואמר ביום ההוא הנה ﭏהינו זה קוינו לו ויושיענו ואומר כי זה ﭏהים ﭏהינו עולם ועד וג' לפי שהאומות אומרין ואמר אי ﭏהימו צור חסיו בו לפיכך עתידין ישרﭏ לומר כי זה ﭏהים ﭏהינו עולם ועד וג' ויהי ביום השמיני וג' כתוב אחד אומר שומר מצוה לא ידע דבר רע מי היה זה זה אהרן שנ' ומפתח אהל
21	25	0	2	8	2	7	4	מועד לא תצאו שבעת ימים ופתח אהל מועד תשבו יומם ולילה שבעת ימים אמר להן משה שמרו אבלות שבעת ימים עד שלא יגיע בכם ושמרתם את משמרת יוי שכך שימר ה'ב'ה' שבעת ימי אבלות עד שהביא את המבול ומנין שנתאבל שכן כתי' וינחם יוי כי עשה את האדם וג' ואין ויתעצב ﭏא אבל שנ' ותהי התשועה ביום ההוא לאבל כי נעצב המלך על בנו וכן עזרא אומר להן לישרﭏ בשעה שהיו בוכין איש ﭏ אחיו ואיש על בנו לכו אכלו משמנים ושתו ממתקים ושלחו מנות לאין נכון לו וﭏ תעצבו באותה שעה שימר ה'ב'ה' שבעת ימי האבל עד שלא הביא
39	40	0	1	3	3	6	8	את המבול שנ' ויהי לשבעת הימים ומי המבול וג' וכן הוא אומ לאהרן כשם שנתאבל ברוך הוא וברוך שמו על עולמו עד שלא הביא את המבול כך אתם שמרו את האבל עד שלא יגיע בכם רע והיו משמרים ולא היו יודעים על מה משמרים למה שומר מצוה לא ידע דבר רע ועת וג' זה משה שכבר אמר לו ה'ב'ה' ונועדתי שמה לבני ישר' וג' מתקדש אני שם במכובדי והיה משה משמש שבעת ימי המלואים והיה מתירא לומר שמא מדת הדין פוגעת בו שנ' ונקדש בכבודי ולא עשה ﭏא אמר לאהרן שמרו אבל שבעת ימים אמר לו למה אמר לו שכך
41	40	0	2	6	3	2	1	אמר לי ה'ב'ה' כי כן צויתי כיון ששמרו שבעת ימי האבל ובא יום השמיני נכנסו נדב ואביהוא להקריב פגעה בהן מדת הדין ונשרפו שנ' ותצא אש מלפני יוי ותאכל אותם וימותו לפני יוי בא משה ואמר לאהרן הוא אשר דבר יוי לאמר בקרובי אקדש היכן דבר במדבר סיני ונועדתי שמה לבני ישרﭏ וג' לכך נאמר שומר מצוה לא ידע דבר וג' ד'א' ויהי ביום השמיני ז'ש'ה' אמרתי להוללים ﭏ תהולו וג' לפי שהוא מזכיר במחולות וכן הוא אומ' לחול במחולות לפי שאין השמחה ממתנת לאדם לא כל מי ששמח היום ישמח למחר ולא כל מי שמיצר היום יצר למחר לפי
32	36	1	0	3	2	8	1	שאין השמחה ממתנת לאדם שנ' לשחוק אמרתי מהולל ולשמחה מה זו עושה רצונך לידע ולהבחין שהרי שמחתו של ה'ב'ה' לא המתינה אימתי כשברא ה'ב'ה' את עולמו היתה שמחה גדולה לפניו שנ' יהי כבוד יוי לעולם ישמח יוי במעשיו וכן הוא אומר וירא ﭏהים את כל אשר עשה והנה טוב מאד ללמדך שהיה ה'ב'ה' מתגאה ומשתבח במעשיו מאד וצוה לאדם הראשון מצוה קלה ולא קיימה מיד נתן לו אפופסין שנ' כי עפר אתה וﭏ וג' כביכול לא המתין בשמחתו ואמר לא בראתי את הכל ﭏא בשביל אדם ועכשיו שמת מה הנאה יש לי ומה ה'ב'ה' לא המתין בשמחתו בני אדם על
47	28	0	0	13	4	11	0	אחת כמה וכמה לכך נאמ' אמרתי להוללים ﭏ תהולו אברהם כמה שמח ונתברך בעולם ונתגדל בעולם והרג כמה מלכי' והקנה לה'ב'ה' שמים וארץ ונתן לו בן לזקנותו ומל אותו וגדלו ולסוף נאמר לו קח נא את בנך את יחידך וג' והלך מהלך שלשה ימים שנ' ביום השלישי וישא אברהם את עיניו חזר מהר המוריה וקבר לשרה ובקש מקום לקברה ולא מצא עד שקנה בת' שקל כסף ואחר כך קפצה עליו הזקנה ומה אברהם הצדיק כך הרשעים על אחת כמה וכמה יצחק לא המתינה שמחתו ונמלט מן החרב ומן השרפה ומאנשי גרר והודיע להן מי היה ובאו הן אצלו שנ' ואבימלך
27	29	0	1	6	4	2	6	הלך ﭏיו מגרר וג' ואמרו לו ראה ראינו כי היה יוי וג' ולא המתין בשמחתו ﭏא ויהי כי זקן יצחק ותכהין עיניו מראות ומה יצחק עולתו של ה'ב'ה' כך הרשעים על אחת כמה וכמה יעקב בכורו של ה'ב'ה' שכת' בני בכורי ישר' כמה שמח ראה סולם ומלאכי ﭏהים עולים ויורדים בו והנה יוי נצב עליו ויאמר אני יוי הלך אצל לבן וברח מפני עשו שנ' ויעבוד ישר' באשה ובאשה שמר ונעשה עבד ללבן עשרים שנה שנ' עבדתיך י'ד' שנה בשתי וג' לסוף העשיר והוליד בנים וחזר ופגע בעשו וניצל ממנו ושלם את נדרו ולא המתין בשמחתו ﭏא ותצא דינה בת
41	26	2	0	6	2	11	2	לאה וג' וירא אותה שכם בן חמור ובאה לו צרת יוסף ונמכר לעבד ומה יעקב הצדיק שאמ' לו ה'ב'ה' ישר' אשר בך אתפאר לא המתין בשמחתו הרשעים על אחת כמה וכמה לכך כתי' אמרתי להוללים ﭏ תהולו וכתי' לשחוק אמרתי מהולל יהושע כמה שמח הרג ל'א' מלכים והנחיל לישר' את הארץ ונתנו לו כבוד כל ישרﭏ כל ימיו ואמרו לו כל איש אשר ימרה את פיך וג' ומה שלא זכה משה רבינו זכה הוא והזקין ומת בלא בנים לכך כתי' אמרתי להוללים ﭏ תהולו עלי הכהן כמה שמחה שמח שהיה מלך וכהן גדול ואב בית דין ומה עלי הכהן שהיה
48	40	0	3	8	10	7	8	כהן גדול יושב על הכסא ושהיה מלך על מזוזות היכל יוי ושהיה אב בית דין לא המתין בשמחתו ﭏא ויהי כהזכירו את ארון הﭏהי' ויפול מעל הכסא אחורנית ותשבר מפרקתו וג' ומתו שני בניו חפני ופנחס ביום אחד ומה עלי הצדיק כך הרשעים על אחת כמה וכמה אין את מוצא איש ולא אשה שראתה שמחות כﭏישבע בת עמינדב ראתה בעלה כהן גדול משמש בכהונה גדולה ונביא ומשה אחי בעלה מלך ונביא ובניה סגני כהונה ואחיה נחשון ראש לכל נשיאי ישרﭏ ולא המתינה בשמחתה ﭏא נכנסו שני בניה להקריב קרבן מיד ותצא אש מלפני יוי וג' לכך כתי' אמרתי להוללי' ﭏ
62	49	0	0	1	7	10	9	תהולו וכן שלמה אמר לשחוק אמרתי מהולל מעשה באחד שהיה מגדולי כבול שהיה משיא את בנו ברביעי שלו עשה סעודה לחכמים אמ' לבנו עלה והבא לנו יין פלוני מן החבית מן העלייה עלה לעלייה הכישו נחש בין החביות ומת המתין אביו עם המסובין ושהה ולא בא אמר אביו אעלה ואראה מה יעשה בני עלה אביו מצאו מושלך בין החביות מת מה עשה אותו חסיד המתין בעצמו עד שאכלו האורחין ושתו כל צרכיהן כיון שגמרו אמר להן לא לברך ברכת חתנים באתם על בנו בואו וברכו עליו ברכת אבלים לא להכניס את בנו לחופה באתם בואו והכניסו אותו לקבורה עאל ר'
31	45	0	2	2	3	8	3	זכאי דכבול פתח עליו לשחוק אמרתי מהולל ד'א' ויהי ביום השמיני ז'ש'ה צדיק כתמר יפרח זה אהרן שנ' והנה פרח מטה אהרן וג' כל האילנות נוטעין אותן והן עולין לעצמן אבל התמרה הזאת נוטעין אותה ומעלה שרשיה מכל הצדדין כך היה אהרן נטע ועשה שרשין אילו בניו של אהרן ﭏעזר בנו פינחס בנו ﭏישוע בנו צדיק כתמר יפרח היכן נטע שתולים בבית יוי ומפתח אהל מועד לא תצאו לכך נאמר ויהי ביום השמיני אמרו רבותי' כל שבעת הימים היה ה'ב'ה' אומר למשה לך בשליחותי והוא אומר שלח נא ביד תשלח כך יום ראשון ושני אמ' לו ה'ב'ה' אני אומר לך
38	31	1	0	2	1	6	9	ואתה אומר לי שלח נא ביד תשלח חייך למחר אני פורע לך כשעשה המשכן היה סבור בעצמו שהוא משמש בכהונה גדולה אמ' לו ה'ב'ה' קרא לאהרן ולבניו שישמשו לכך נאמ' קרא משה לאהרן ולבניו יש קריאה לשובע ויש קריאה לרעב לשובע מנין וקראתי ﭏ הדגן והרביתי אותו לרעב כי קרא יוי לרעב יש קריאה לגדולה שנ' קרא משה לאהרן ולבניו אמ' לו משה כך אמ' לי ה'ב'ה' למנות אותך כהן גדול אמ' לו אהרן אתה יגעת במשכן ואני אהיה כהן גדול אמר לו חייך א'ע'פ' שאתה כהן גדול כﭏו אני נעשה כהן שכשם ששמחת לי בגדולתי כך אני שמח לך
35	42	0	0	6	5	8	7	בגדולתך ואימתי שמח לו בשעה שאמ' לו ה'ב'ה' ועתה לכה ואשלחך ﭏ פרעה אמר לו ה'ב'ה' לך היה הדבר שמור אמ' לו משה בי אדני בייא את מעביר עלי שאחי גדול ממני ואני הולך לפרעה אמ' לו חייך שאמרת כראוי שהוא גדול ממך ﭏא א'ע'פ'כ' וראך ושמח בלבו אמ' ר' שמעון בן יוחאי אמ' לו ה'ב'ה' הלב ששמח בגדולתו של אחיו נותן אבנים טובות עליו שנ' ונשא אהרן את שמות בני ישרﭏ וג' על לבו לפיכך כל שבעת הימים שהיה משה עסוק במשכן הוא היה זורק את הדם ומקטיר את החלבים אמ' לו ה'ב'ה' מה את סבור שאתה כהן גדול
70	26	0	6	2	2	3	5	קרא לאהרן ולבניו שישמשו לכך נאמ' ויהי ביום השמיני ולמה ולזקני ישר' לגדלו בפני הזקנים אמ' לו ה'ב'ה' קרא לזקנים ומנה אותו לפניהם שלא יהו אומרי' מעצמו נעשה כהן גדול ויאמר ﭏ אהרן קח לך עגל בן בקר לחטאת ולמה לא אמ' פר ﭏא עגל שעל ידי העגל נתפקקה הכהונה בידך ובעגל מתבססת בידך ולא עוד ﭏא שלא יהיו ישר' אומרי' יש להם עונות ממעשה העגל לפיכך אף הם יקריבו עגל וﭏ בני ישר' תדבר לאמר וג' ועגל וכבש בני שנה וג' שידעו שנתכפר להם על מעשה העגל אמר ה'ב'ה' בעולם הזה נתכפר להם על ידי קרבן ולעולם הבא אני
19	25	0	2	2	4	5	2	מוחל עונותיהם שלא בקרבן שנ' אנכי אנכי מוחה פשעיך למעני וידבר יוי ﭏ אהרן וג' יין ושכר ﭏ תשת וג' למה הוא מצווה על היין שכל השותה יין יתר מדאי חבורות ופצעים ובושה וחרפה באות עליו ורוח הקדש צווחת למי אוי למי אבוי למי מדינים למי שיח למי פצעים חנם למי חכלילות עינים למאחרי' על היין וכת' ﭏ תרא יין כי יתאדם כי יתן בכוס עינו יתהלך במישרים אחריתו כנחש ישך עיניך יראו זרות ולבך ידבר תהפוכות והיית כשוכב בלב ים וכשוכב בראש חבל הכוני בל חליתי הלמוני בל ידעתי למי אוי למי אבוי למי אומרי' ווי לאבוי למי שהוא