בזני מוסרן למליוך ששמו דומה לשמר אותן מתים ומתגלגלין	
עמן ושטיו בעולם עד שיתמלאו שנותם  אר יוחנ מניין  	bavli.Sanhedrin.182
לנשמות של מתים שמספרות דו עם זו  שנ ויאמר ײ אלי	midrash.Midrash_Tanchuma.Nasso.19
את הארץ אשר נשבעתי לאבותיך לאברהם ליצחק וליעקב לאמר 	midrash.Midrash_Tanchuma.Masei.4
אל המקום למשה לך ואמור להם לאברהם ליצחק וליעקב שבועה	midrash.Yalkut_Shimoni_on_Torah.276
שנשבעתי להם קיימתי לבניהם  ו והפרחון פי בערך חטף כי רוח	bavli.Berakhot.36
מלפני יעטף פי רוח ונשמות לפני יחלקו לגופות הנלדים  ובחלק	bavli.Niddah.26
מי יפתה את אחאב רוחו של נבות לפי שהרג אתנבות בלא דין 	midrash.Midrash_Aggadah.Genesis.1.26
ובלא ענן היה רוחו מחזר לפתותו ולהפילו וכתי צא ממחיצתי זה	
רוחו של בבות שנקם כעסו על אחאב ויצא ממחיצתו של מקום	midrash.Yalkut_Shimoni_on_Nach.283
שנ דובר שקרים לא יכון נגד ײ  ר מני בריה דר יונה הוה 	midrash.Yalkut_Shimoni_on_Nach.524
מצערי ליה ביה נשיאה אזל אשתטח אמערתא דאכזה	midrash.Ein_Yaakov.Taanit.3
אמא חד הוה חלפי להתם אבקוט כרעי דסוסוותהו ער דקבלו על	bavli.Taanit.46
עליה דלא מצערו ליה  כת כי החיים אדעים שימותו והמתי	bavli.Ketubot.121
אינם יודעים מאומה ודריש התם כצדיקי ורשעים 	yerushalmi.Berakhot.30
מעשה בחסיד אחד שנתו דצר לעני בערב ראש רשנה בשני	bavli.Berakhot.36
בצרות והקניטתו אשתו ש והלך ולן בבית הקברות י 	bavli.Berakhot.36
שמע שני רוחות שמספרות זו עם זו אמ לה חברתי בואי ונשוט	bavli.Berakhot.36
בעולם  אמ לה אינני יכולה שאבי מכוסה במחצלת של קנים אלא	bavli.Berakhot.36
לכי את ומה שתשמעי בואי ותספרי לי הלכה ושמעה ואמרה	midrash.Midrash_Tehillim.4
שמעתי מאחורי הפרגוד שכל הזורע בזריעה ראשונה ברד 	bavli.Chagigah.29
מלקה  מה עשה אותו האיש זרע בשנייה  וכן עשה בשנה שניי	midrash.Yalkut_Shimoni_on_Torah.166
ובשלישית נתגלה הדבר ואמ חברתי דברים שבני לבצך נשמע	midrash.Sifrei_Devarim.306
בין החיים אלמא דמתים יודעים עתידות  מעשה בועירי	midrash.Yalkut_Shimoni_on_Torah.794
ראפקיד זודיה גבי אושפיזכניה עד דיותי ואזיל	midrash.Ein_Yaakov.Taanit.3
לבי רב שכיבא אושפי זכניה אזל בתריה לבית הקברות אל זוזי	mishnah.Oholot.4
היבא אל שקלינהו מתותיה ענורא דדשא  ועוד מעש	bavli.Berakhot.36
דאבוה דשמואל הוה מפקדי ליה זוזי דיתמי כי	bavli.Berakhot.36
וח נפשיה לא הזה שמואל לגביה כי אתא שמואל הזה קרייה	bavli.Berakhot.36
ליה חדי גברא דאכיל זזזי דיתמי אדל שמואל לבית הקברות אמ	bavli.Berakhot.36
אבא היכא אמרו לו המתים טובא אבא איכא אבא בר אבא 	midrash.Ein_Yaakov.Khullin.11
מבוה דשמוול אמר ליה סליק ליה למתבתא דרקיעא  פרשי	bavli.Bava_Kamma.170
	
שנגלו לו כאילו הם מקבריהם יושבים בע גולה חזייה שמואל 	yerushalmi.Sanhedrin.23
ללוי שהיה חברו דיתיב אבראי פי חוץ לישיבה של שאר מתים	
אל מאי טעמ לא סליק אל כל הנך שני דלא עילת למתינתא דר 	bavli.Kiddushin.145
אפס כדאי בכתובו פ הנושא  חזייה דהוה בכי וחייך  אבוה דשמו	bavli.Berakhot.10
אל מאיטעמ בכית אל דמטא זימנך למיתה ומאי טעמ חייכת	yerushalmi.Shabbat.30
דחשיבת כולי האי בעלמא  וזוזי דיתמי זיל שקלינהו כו  	midrash.Ein_Yaakov.Sanhedrin.11
מה היא הנפש ברכי נפשי אתיײי אמ דוד הנפש שנתת	midrash.Midrash_Tehillim.7
בי אין אדם יודע מקומה ואין אדם יודע	midrash.Midrash_Tanchuma_Buber.Vayakhel.1
מקומו של עולם ואפי חיות הקדש שטוענות את כסאו או ברוך	midrash.Midrash_Tehillim.75
כבוד ײ ממקומו  תנא נפש שהיא יחידה שאין אדם ידע את	midrash.Midrash_Tanchuma.Shemot.18
מקומה ותקלם למקום שהוא יחיד ואין אדם אדע את מקומו  	midrash.Midrash_Tanchuma_Buber.Tazria.7
ביעשה באדם אחד ששאל את רג באיזה מקום ﭏהיבם 	midrash.Midrash_Tanchuma_Buber.Noach.22
כתוו אל איני יודע  אל זו היא תפלתכם וחכמתכם	midrash.Midrash_Tehillim.103
שאתם מתפללין לפניו בכל אם ואם ואין אתם יודעין את מקומו אל	midrash.Yalkut_Shimoni_on_Nach.857
זה דבר ששאלת רחוק ממנו ג אלפים וה מאות שנה מהלך אדם	midrash.Yalkut_Shimoni_on_Torah.721
ביעני  אבל או לך דבר שהוא אצלך באם ובלילה אמור לי באיזה	midrash.Midrash_Tanchuma_Buber.Tazria.7
מקום הוא וזה הנפש שהוא נתונה בגופך ואין אתה יודע היכן	midrash.Yalkut_Shimoni_on_Torah.397
היא אל איני אדע אל רג תיפח נפשיה דההוא גברא  ומה נפש 	bavli.Bava_Metzia.171
שהיא איצלך אמם ולילה איו אתה יודע היכן היא הק על אחת 	midrash.Yalkut_Shimoni_on_Torah.397
כמה וכמה אל אכ יפה אנו עושין שאנו משתחוים למעשה ידינן	midrash.Yalkut_Shimoni_on_Nach.857
שבכל שנה אנו רואים אותו  אל קג תיפח נפשך מעשה ידיכם 	midrash.Pesikta_Rabbati.12
אתם רואים אותם זהם אינם רואים אתכם והק הוא רואה אותנו	yerushalmi.Demai.45
ואין אנחנו יכולא לראותו מפני כבודו דכ כי לא יראני האדם וחי 	midrash.Yalkut_Shimoni_on_Torah.431
שאל אנטונונוס את ר גמ ונשמה יכוליו ליפטר מיום הדין  	midrash.Midrash_Tanchuma_Buber.Miketz.11
גוף או מה שחטאתי על ידי הנשמה שמיום שפרשה	yerushalmi.Shekalim.17
ממני לא עשיתי מאומה הריני מוטל כאבן בקבר  ונשמה יאמר 	bavli.Sanhedrin.181
גוף חטא שמיום שנפרדתי ממנן אני הייתי פורח באויר כצפור 	midrash.Ein_Yaakov.Sanhedrin.11
אל ר יומשול לך משל למה הדבר דומה למלך בשר ודם שהיה לו	midrash.Yalkut_Shimoni_on_Torah.289
פרדס נאה והושיב בו שני שומרין אחד חגר ואחד סומא  אם	bavli.Sanhedrin.182
אחד אמ חגד לסומא בכורות נאות אני רואה בפרדס בא ונרכב	bavli.Sanhedrin.182
עליך ונבקש ונביאם ובוכלם רכב חגר על הסומא והביאום ואכלום	bavli.Sanhedrin.182
לימים ביא המלך אמ לתם בכורות נאות היכן הם ענה חגר כלום	midrash.Ein_Yaakov.Sanhedrin.11
	
	
	
	
	
	
	
	
	
יש לי רגלים  וכן הסומא כלום יש לי עינים מה עשה הרכיב חגר על	bavli.Sanhedrin.182
הסומא ודן אותם כאחד  כך יעשה המקום ליום הדין מביא הנשמ	bavli.Sanhedrin.182
וזורק בתוך הגוף ודן אותם שנ יקרא אל השמים מעל זו נשמה	bavli.Sanhedrin.182
ואל הארץ לדין עמו זה הגוף  אל תשכח כל גמוליו  כך אמ	bavli.Sanhedrin.182
דוד לפני המקום  רבונו של עולם כבוד גדול עשית לי שעשי	midrash.Yalkut_Shimoni_on_Torah.266
לאמי דדים במקום בינה פי סמוך ללב  דא שלא יינק במקום הטנופת	bavli.Berakhot.19
פי כמ שעשית לבהמה  ר שמעון בן פזי הוה מסדר אגדתא ק	midrash.Yalkut_Shimoni_on_Nach.857
קמיה דר יהושו בן לוי ואמ מאי דכ וכל קרבי את	yerushalmi.Gittin.5
שם קדשו  בא וראה שלא כמדת הק מדת בשר ודם  אדם צר צורה	bavli.Berakhot.19
על גבי כותל אינו יכול להטיל בו רוח ונשמה קריביים ובני מעיים  אבל	midrash.Yalkut_Shimoni_on_Nach.83
המקום צר צורה בתוך צורה ונותן בה רוח ונשמה קריבים ובני מעיי	midrash.Yalkut_Shimoni_on_Nach.83
והיינו דאמ חנה אין צור כﭏהינו אין צייר כﭏהינו  הני חמשה	midrash.Midrash_Tanchuma_Buber.Tazria.3
ברכי נפשי כנגד המקום שיש בו חמשה דברים מלא כל העול	midrash.Yalkut_Shimoni_on_Nach.857
וכן הנשמה מלא הגוף  המקום רואה ואינו נראה אף הנשמה רואה	midrash.Yalkut_Shimoni_on_Nach.857
ואינו נראה  המקום זן את כל העולם אף הנשמה זנה את הגוף  המק	midrash.Yalkut_Shimoni_on_Nach.857
המקום טהור והנשמה טהורה יושב בחדרי חדרים אף הנשמה  ת	midrash.Yalkut_Shimoni_on_Nach.857
תבא נשמה שיש בו ה דברים ותשבח להקבה שיש בו ה דברים אי	midrash.Yalkut_Shimoni_on_Nach.857
אילו  כל המסתכל באילו ארבעה דברים רתוי הוא כאילו	midrash.Pirkei_DeRabbi_Eliezer.11
לא בא לעולם  ואילו הן מה למטה ומה למעלה מה לפנים	bavli.Chagigah.22
מה לאחור פי רתוי כמ ראוי וטוב ממנו הנפל כך פי בערוך  ורשי	bavli.Tamid.63
פי יפה וטוב היה לו שלא בא לעולם  מה למעלה מן השמים כדכתי	mishnah.Chagigah.2
בספר בן סירא במופלא ממך אל תדרוש ובמכוסה ממך אל תחקור	bavli.Chagigah.25
במה שהורשת התבונן אין חקר בנסתרות  במופלא ממך זה שלא	midrash.Yalkut_Shimoni_on_Nach.339
רצה המקום לגלות מה לך לחקור  במה שהורשת במעשה דרך א	bavli.Beitzah.65
ארץ ובתלמוד תורה ובמעשה בראשית התבונן  מה לפנים חוץ	midrash.Bemidbar_Rabbah.14
למחיצת הקרקע למזרח ולצפון ולדרום  ומה לאחור למערב  ושמעת	midrash.Midrash_Mishlei.20
עוד רתוי כמ בני אהרן הנותרים  ודריש בתכ ר אליעז או ראויים היו	midrash.Bereishit_Rabbah.1
לישרף אלא שריתה הכתו לאהרן וזהו לרחמים כך פי הערוך כלומר	yerushalmi.Peah.40
מרוחם היה  וכן רתוי שלא בא לעולם כלומ מרוחם היה אם לא בא לנ	midrash.Yalkut_Shimoni_on_Torah.354
לעולם תנו רבנן שלשה הובאו לדין לפני ה	bavli.Pesachim.226
המקום ואילו הן עני ועשיר ורשע	bavli.Bava_Kamma.171
או לעני למה לא עסקת בתורה אל טרוד היה במזונותי או לו כלום היית	bavli.Yoma.70
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
עני יותר מהילל הזקן  אמרו עליו על הילל הזקן שבכל יום ויום היה	bavli.Yoma.70
משתכר בשני טרפקיעין פי מיני מטבע  חצי נותן לשומר בית ה	bavli.Yoma.70
המדרש וחצי האחר מתפרנס הוא ובני ביתו  פעם אחת לא מו	midrash.Midrash_Tanchuma_Buber.Re'eh.7
מצא להשתכר ולא הניחו שומר בית המדרש ליכנס עלה לגג נתלה	bavli.Yoma.70
בלילה וישב על גבי ארובה כדי שישמע דברי ﭏהים חיים מפי שמעי	bavli.Yoma.70
ואבטליון ואותו היום ערב שבת היה ותקופת טבת ירד עליו השלג	bavli.Yoma.70
כיון שעלה עמוד השחר אמ שמעיה לאבטליון אבטליון אחי בכל יום	bavli.Yoma.70
היה מאיר הבית והיום אפל הציצו עיניו וראה דמות אדם בארובה	bavli.Yoma.70
עלו ומצאו עליו רום ג אמות שלג  פרקוהו ורחצוהו וסכוהו והוש	bavli.Yoma.70
והושיבוהו כנגד המדורה אמרו כגון זה ראוי לחלל עליו השבת 	bavli.Yoma.70
ואל תתמה מזה אמרו עליו על ר עקיבא שבכל יום ויום היה מביא	minor_tractate.Avot_D'Rabbi_Natan.6
חבילה של קש חציו מוכר וחציו מתקשט בו  פעם אחד עמדו	minor_tractate.Avot_D'Rabbi_Natan.6
עליו שכיניו ואמרו לו עקיבא אבדתנו בעשן אבל מכור אותו לנו	minor_tractate.Avot_D'Rabbi_Natan.6
וטול בדמיו שמן והדלק הנר ושנה לאור הנר  אמ להם הרבה סי	minor_tractate.Avot_D'Rabbi_Natan.6
סיפוקין אני מסתפק מהם אחד שאשנה לאורו ואחד שאתחמם	minor_tractate.Avot_D'Rabbi_Natan.6
בהם ואחד שאינו מניח לי לישן  ועתיד ר עקיבא לחייב כל עניי	midrash.Shemot_Rabbah.18
ישר לעתיד בדין שהיה בתחלה עני מדולדל  ואם תאמר שלא הי	midrash.Yalkut_Shimoni_on_Nach.691
לו טיפול בנים ובנות היו לו והיה מפרנסם  ובן מ שנה היה כשהלך	midrash.Yalkut_Shimoni_on_Nach.77
ללמוד ולסוף שש עשרה שנה לימד תורה ברבים  ואמרו לא נפ	minor_tractate.Avot_D'Rabbi_Natan.6
נפטר מן העולם עד שהיו לו שלחנות של כסף וזהב  ואשתו הית	midrash.Midrash_Tanchuma_Buber.Vaera.18
יוצאת בקורקסין ובעיר של זהב ובמילת ובבגדי צבעונין ובכלי	midrash.Midrash_Tanchuma.Vayishlach.5
פשתן מצויצין  אמרו לו בניו ובנותיו ביישתנו במה שאתה עוש	midrash.Yalkut_Shimoni_on_Nach.310
לאמנו כל הכבוד הזה אמ להם מעט הוא הכבוד שהרבה נצט	midrash.Yalkut_Shimoni_on_Torah.750
נצטערה עמי בתורה כדאי ביבמות פ הבא על יבמתו  שנים עשר	midrash.Sifrei_Bamidbar.116
זוגות תלמידי חכמי היו לו לר עקיבא מתלמידיו מגבת עד אנט	yerushalmi.Sukkah.2
אנטיפרס מעשה בר אליעז בן הורקנוס שהניח	bavli.Gittin.161
אביו ואמו עניים וברח לירושלם ולא נטל בידו לא	midrash.Midrash_Tanchuma_Buber.Lech Lecha.10
ככר לא מנה ולא כלום אלא נכנס בירושלים כעני בפתח  ובא לפני	midrash.Midrash_Tanchuma_Buber.Lech Lecha.10
רבן יוחנ בן זכאי וישב ולמד תורה שם שתים או שלש שנים  בא	bavli.Beitzah.9
לשאול לתלמידים והיה מריחים ריח פיו סרוח והיו מטמינים מ	midrash.Midrash_Tanchuma_Buber.Lech Lecha.10
ממנו ובורחים ולא היו או לו דבר עד שבאו לפני רבן יוחנ בן זכאי	bavli.Beitzah.9
והבין שאין ריח זה אלא מרעב שלא היה לו לאכול  אמ רבן יוחנ בן	bavli.Yevamot.129
	
	
	
	
	
	
שנו אלא באדם אחד ובחדשים ובלבנים ובלבד שאין לו להחליף אב	bavli.Shabbat.225
יש לו להחליף לא  תבא של בית רג לא היו מקפלין כפלי	bavli.Shabbat.225
לבן שלהם מפני שהין להם להחליף  אמ רב הונ אם	bavli.Shabbat.225
יש לו להחליף יחליף ואם לאו ישלשל בבגדו  והא מתחזי כרמות 	midrash.Midrash_Tanchuma.Bereshit.2
כאן דכל אמא לא קעביד והאידנ קעביד לא מתחזי כרמות רוחא	bavli.Berakhot.78
כת וכבדתו מעשות דרכיך שלא יהיה מלבושך של שבת כמלבושך	midrash.Yalkut_Shimoni_on_Nach.496
של חול כי הא דר יוחנ הוה קרי למאני מכבדותיו  דרכיך שלא יהא	bavli.Shabbat.225
הלוכך של שבת כהלוכך של חול  ממצוא חפצך  חפינך אסורים	bavli.Shabbat.225
חפיני שמים מותרים  ודבר זה שלא יהא דיבורך של שבת כדיבור	midrash.Yalkut_Shimoni_on_Nach.496
של חול אבל הרהור מותר  הלוכך דשבת כי הא דר זירא אם היה	yerushalmi.Demai.23
מדלג נשבת ופגע באמת המים  אם יכול להניח רגלו ראשונה 	bavli.Shabbat.226
שתעקר את השנייה מותר ואם לאו אסור שמא יגיעו בגדיו במים	yerushalmi.Demai.51
ויבא לידי סחיטה  דא משום דפסיעה גסה אסור בשבת ואפי	
בחול יותר מאמה  דפסיעה בצונית אמה ומאי תקנתיה להדר	midrash.Ein_Yaakov.Berakhot.6
בקדושא דבי שמשי  ממצוא חפצך כההיא דעירובין לא 	bavli.Berakhot.86
יטיל אדם בתוך שדהו בשבת לידע מה היא צריכה חפיני שמים	midrash.Yalkut_Shimoni_on_Nach.496
מותרין כגון פוסקין צדקה ומשדכין את התינוקות ליארס שלא	bavli.Shabbat.23
יהא דנורך של שבת מקח וממכר וחשבונות  מהרהר מותר כלומ	midrash.Yalkut_Shimoni_on_Nach.496
יצאה אני צריך להוציא על שדה זו  רב חסדא ורב הונ דאמ	bavli.Bava_Batra.93
תרויהו חשבנות של מנוה מותר וכן אר יעקב מפקחין	bavli.Ketubot.9
פיקוח נפש בשבת  ואר אלעז פוסקין צדקה לעניים בשבת  ואר	bavli.Ketubot.9
אחנ הולכין לבתי כנסיות ולבתי מדרשות לפקח על עסקי רבים בש	bavli.Ketubot.9
בשבת  ותנא בי מנשה משדכין תצוקות ליארס וללמדו ספר ולל	midrash.Midrash_Tanchuma.Bereshit.2
וללמדו אומנות  ולקדוש ישר מטבד כגו אנא דשכיחי לן 	midrash.Yalkut_Shimoni_on_Nach.496
בשרא וחמרא במה נשנייה ונכבדיה  אל אי קגיליתו לאקדושי ולא	midrash.Yalkut_Shimoni_on_Nach.496
ולאקדומי אחרוה  ואי רגילותן לאחר זמן סעודה בחול אקדמיה 	midrash.Yalkut_Shimoni_on_Nach.496
לקדוש ישר מסבד  תבא דבי אליהו לעולם ישכים אדם 	bavli.Avodah_Zarah.10
להוצאת שבת אעפ  שאר עקיבא עשה שבתך חול 	bavli.Pesachim.223
ואל תצטרך לבריות אבל עושה הוא לכבוד שבת דבר מועט ומאי	bavli.Pesachim.223
דבר מועט  אמ רב פפא כסא דהרסנא  אמ רב חסדא 	midrash.Yalkut_Shimoni_on_Nach.885
לעולם ישכים אדם להוצאת שבת שנ ויהי באום הששי והכי	bavli.Shabbat.234
יאשר יביאו לאלתר בערב שבת  אר יוחנ כל המענג את השבת	midrash.Yalkut_Shimoni_on_Nach.496
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
נותנין נחלה בלא מצרים שנ אז תתענג על ײ  רב נחמ אמ 	bavli.Berakhot.101
מוצל משעבוד מלכיות  כתי התם על במתי ארץ  כת הכא ואתה	midrash.Sifrei_Devarim.317
על במותימן תדרוך  אמ רב יהוד כל המענג את השבת נותנין לו	midrash.Yalkut_Shimoni_on_Nach.496
משאלות לבו שנ אז תתענג על ײ ויתן לך משאלות לבך  במה 	midrash.Yalkut_Shimoni_on_Nach.496
מענגה אמ רב יהוד בתבשיל שלתרדים זדגים גדולים וראשי 	bavli.Pesachim.21
שומים  אמ רב אפי דבר קטן והוא לכבוד שבת עשאו הרי עונג	bavli.Shabbat.236
מאי היא אמ רב פפא אפי כסא דהרסנא  ולי נר שבמה דמשום	bavli.Nazir.68
האי אוכלי שום בערב שבת  אר אסי תהא חלקי ממכניסי שב	yerushalmi.Sanhedrin.43
שבת בטבריא וממויני אי שבת בצפורי  פי טבריא ארין עמוקה 	midrash.Ein_Yaakov.Shabbat.16
ומחשכת מבעוד יום כסבורין שחשיכה  וצפורי אושבת נראש 	tosefta.Taanit.1
ההר כצפור ועד שקיעת החמה נרא אור גדול  ר חננא מעטף	midrash.Tanna_Debei_Eliyahu_Rabbah.31
וקאי אפניא דמעלי שבתא  ואמ באו ונצא לקראת שבת מלכה 	bavli.Shabbat.237
ד ביר ינאי הוה לביש מאני מעליא ומיכסי ואמ בואי כלה בואי 	midrash.Ein_Yaakov.Bava Kamma.3
יכלה  רבה בר רב הונא איקלע לבי רבה נר נחמן קריבו ליה תלתי	bavli.Shabbat.237
סאין טיחויי  כי הזר אמ מי ידעיתון דאתינ אמ לי מי עדיפת	bavli.Shabbat.237
את משבתא  ר אבא זבן בתליסר יוסתירי פשיטי בישרא 	bavli.Shabbat.237
מתליסר טבחי ומשלים להו לצצורא דדשא אל לשמשיה אשור	midrash.Ein_Yaakov.Shabbat.16
הייא  כלומ התאשר מהר להכין מנה זו בתוך שאלך להביא אחרת	bavli.Nazir.26
ב ערבי שבתות ר אבהו אתקנתא דדשא יתיב  ומושיף נורא 	midrash.Ein_Yaakov.Shabbat.16
פי נופח האור לכבוד השנת  רב ענן לביש גונדא  זתנא דני	midrash.Ein_Yaakov.Shabbat.16
ר ישמעﭏ בגדים שבישל בהם קדירה לרבו  אל ימזוג בו כוס 	bavli.Shabbat.227
לרבו  גונדא כלי שחור שעשוי שלא לטנף בגדיו בבשלו הקזירה	
רב ספרא מחרך רישא  רבא מלח שיבוטא  רב הונ מדליק שרגא	bavli.Shabbat.237
רנפפא גדיל פתילתא  רנ חסדא מאליק שרגא פריס סילקא 	bavli.Shabbat.237
פריס מחתך  רבה ורב יוסף מצלחי ציבי  ר זירא מצתית צתותי	midrash.Ein_Yaakov.Shabbat.16
פי מצית האור בעינים דקים  רב נחמן בר יצחק מכתף ועייל 	bavli.Pesachim.7
מכתף ועﭏל ונפיק  מעשה ביוסף מוקר שני דהוה	midrash.Yalkut_Shimoni_on_Nach.496
ההוא גוי בשיבבותיה דהוה נפיסוי נכסי טובא 	bavli.Shabbat.237
אמרי ליה כלדאי כולהו ננסין ליוסף מוקר שני ואכלי ליה אזל 	bavli.Shabbat.237
ובנינהו לנכסי וזבן בהן מרגניתא  אותביה נסדיניה בהדי דקא	midrash.Yalkut_Shimoni_on_Nach.496
אדיל ועבר נהרא אפרחא זיקא לסדיניה שדיא במיא  בלעי 	midrash.Yalkut_Shimoni_on_Torah.16
נובא  יוסקוה ואייתוה אפניא דמעלי שבתא אמר מאי זבין כי 	bavli.Shabbat.237
